variable
P04CHE3
PRSCHE3
C07MCF5
DEMENV5
P05CHE3
P09CHE3
M09MOD4
P07CHE3
T09MOD3
CRVMRG5
P06CHE3
C05MCF5
C12MCF5
EX6MOD5
M04MOD4
C11MCF5
MANMCF5
C03MCF5
B13CHE3
P10CHE3
C04MCF5
C01MCF5
C06MCF5
T08MOD3
