Sample_ID,Nearest_Neighbor_Distance_km
1,13.02817567636155
2,22.712550357042936
3,5.510184780443807
4,7.371091656306378
5,4.104979663626646
6,20.546979086895018
7,1.8440940860429906
8,19.80789317980558
9,2.6039927693042486
10,5.8261730900620385
11,5.21192480308228
12,13.406374295412842
13,13.423890273265865
14,5.830918507259313
15,2.6035332479926874
16,3.6717589945824054
17,4.104979663626646
18,10.735761720836598
19,11.058253114184666
20,3.6717589945824054
21,36.048426740419764
22,47.127442687995554
23,5.21192480308228
24,7.371091656306378
25,13.411857090101721
26,2.6039927693042486
27,2.6019563657232636
28,1.8428837685913266
29,1.8428837685913266
30,10.735761720836598
31,5.207854513943552
32,5.8261730900620385
33,1.8440940860429906
34,5.510184780443807
35,19.233030159333495
36,18.40452704226965
37,16.474244644066612
38,16.474244644066612
39,23.58242609967702
40,19.916667726768026
41,5.818730493904015
42,1.8398021868624632
43,5.207637382015521
44,3.679596946918874
45,5.818690992654784
46,15.739718816053674
47,12.3575146109412
48,12.3575146109412
49,13.412537755471536
50,13.274420427343236
51,1.8106833218719671
52,2.6035332479926874
53,0.608143214236318
54,0.608143214236318
55,23.587848327332203
56,14.023139557507557
57,13.406374295412842
58,20.99738467330494
59,18.51542190418241
60,22.268678617009062
61,1.84417582715762
62,1.84417582715762
63,9.21197962342985
64,1.8398021868624632
65,14.846561347093223
66,14.846561347093223
67,6.644923706354335
68,23.08805585533233
69,11.793027318254387
70,25.601005281624065
71,11.793027318254387
72,6.644923706354335
73,12.8975766013914
74,1.8398401213698723
75,21.561670522695103
76,1.8398401213698723
77,10.732660504304205
78,11.047170643711297
79,9.394446198692046
80,9.394446198692046
81,17.576148977008717
82,30.25617719011699
83,47.11732315336004
84,2.6397366134905527
85,22.766200378613252
86,17.576148977008717
87,21.82398849544946
88,2.6397366134905527
