Statistic,Value
Mean,4.463655285026853
SD,34.87889718096435
Min,-117.10395571100676
Max,80.7768041968384
Range,197.88075990784517
Shapiro-Wilk W,0.9805909261945137
Shapiro-Wilk p-value,0.21045997035613745
Moran's I,-0.05316339209627174
Moran's I p-value,0.4507290120827385
