Model,R2,RMSE,ME
XGBoost,0.2521821811071677,34.11358991146488,-3.9945155236632055
RF,0.218690232928904,34.86913279337558,-4.510534027160927
Ensemble,0.2143327754237061,34.96623224839035,-4.463655285026852
SVM,0.19763788605879318,35.33578360987723,0.4321918313122499
Cubist,-0.0028608052910370496,39.50479830731401,-0.4598196623128068
