Variable,P04CHE3,PRSCHE3,C07MCF5,DEMENV5,P05CHE3,P09CHE3,M09MOD4,P07CHE3,T09MOD3,CRVMRG5,P06CHE3,C05MCF5,C12MCF5,EX6MOD5,M04MOD4,C11MCF5,MANMCF5,C03MCF5,B13CHE3,P10CHE3,C04MCF5,C01MCF5,C06MCF5,T08MOD3
P04CHE3,1,0.7820389999348424,0.559073747712612,0.4704493446960759,0.926612561080675,0.8548417529939699,-0.5608762874554517,0.8594031458049097,-0.6501999130458891,-0.3021485068576096,0.9094579176660479,0.6963406612278867,0.002934225178994579,0.12817122915126725,-0.5144978204176509,0.383075564326098,0.53137184468532,0.5429924553399921,0.18234972461639914,0.7946899172659396,0.5624201261068551,-0.13018868160906064,0.6195787409375516,-0.6136271068515762
PRSCHE3,0.7820389999348424,1,0.6094929041360608,0.6814483703374719,0.7712342963046168,0.8626599672701897,-0.4344496469104857,0.8517095456185413,-0.631176668042476,-0.34828180141943016,0.8252560307267889,0.6664208540780246,0.30701068102281676,-0.08925816430239923,-0.34885658068609965,0.5653000169552035,0.6945039212099879,0.5954182346123467,0.6942422528444436,0.8392684693945995,0.6725727395559147,0.2384804157763884,0.5615605022489648,-0.5655272045279269
C07MCF5,0.559073747712612,0.6094929041360608,1,0.5214989544808086,0.5294478445688786,0.4818999405156573,-0.5467288015730917,0.530654651847466,-0.7255487283586242,-0.3316842719483618,0.5447611006600448,0.9025277663789651,0.13248522995670706,0.11236999272125213,-0.38392211685884653,0.4183884427416675,0.8174508617314273,0.4826053528392598,0.40065185609620946,0.5363431848144459,0.7396374217267392,-0.008262400561588314,0.9253676789716999,-0.6967721212393009
DEMENV5,0.4704493446960759,0.6814483703374719,0.5214989544808086,1,0.4102932659329793,0.5411935559836472,-0.32647581726566216,0.5648636929794042,-0.5638952915306003,-0.26992045233347195,0.5108405767238223,0.4944513620938966,0.39660748224892267,-0.27358566477901913,-0.2398934151435857,0.6899842509901075,0.5869204402487729,0.393671371577316,0.5089448656836639,0.5206956886858936,0.5015314217080741,0.23721383887227562,0.4491847416394371,-0.5343046831747779
P05CHE3,0.926612561080675,0.7712342963046168,0.5294478445688786,0.4102932659329793,1,0.94774132946955,-0.5296995851489474,0.95337208574468,-0.6985594328226619,-0.2772310226580547,0.9763760038633446,0.6566256813999204,-0.11691302475621648,0.0905954421629864,-0.460533039819853,0.2925471218381629,0.45787327487159535,0.516957034767575,0.16879116943841224,0.7704288073630927,0.5208206051692846,-0.18117224304188043,0.5450480485184187,-0.656123942779508
P09CHE3,0.8548417529939699,0.8626599672701897,0.4818999405156573,0.5411935559836472,0.94774132946955,1,-0.4637471907737059,0.9886794876398539,-0.6532558414065096,-0.29299840994737564,0.9660308468344461,0.5770066695439672,-0.004370528198566174,-0.051725181054320474,-0.3923941682644385,0.39253552058888613,0.47272027027592683,0.5204333239905282,0.33464107882873506,0.8103054520957113,0.5185187800187329,-0.027628152125192203,0.44083350742706556,-0.5957586637264298
M09MOD4,-0.5608762874554517,-0.4344496469104857,-0.5467288015730917,-0.32647581726566216,-0.5296995851489474,-0.4637471907737059,1,-0.4816467596912334,0.6270888830185805,0.273873694530019,-0.5227689738065247,-0.5375873600437474,-0.14809668788427907,-0.4248998729934494,0.919284070635998,-0.28556303341791867,-0.5052833798707138,-0.4277164703746374,-0.028980910989581728,-0.34876885331585455,-0.41958942735930566,-0.12887729483930227,-0.5289145343369405,0.6086818470360749
P07CHE3,0.8594031458049097,0.8517095456185413,0.530654651847466,0.5648636929794042,0.95337208574468,0.9886794876398539,-0.4816467596912334,1,-0.6933036618574423,-0.31076244493284705,0.9818532599589425,0.62179595374935,-0.03956754922934656,-0.045013097343837113,-0.4058924007736433,0.3887094463505654,0.4840457602556421,0.49731670302644904,0.31941762163959486,0.8066002291040241,0.5338533584948326,-0.08566306539888051,0.4899022080389309,-0.6476433418906857
T09MOD3,-0.6501999130458891,-0.631176668042476,-0.7255487283586242,-0.5638952915306003,-0.6985594328226619,-0.6532558414065096,0.6270888830185805,-0.6933036618574423,1,0.29190055011674426,-0.6924798405897429,-0.7137081721741716,0.018990004514141935,-0.08261515334589695,0.42947684799864205,-0.2598857192293565,-0.5265486566753094,-0.3226263114591776,-0.318801394880031,-0.6272800320230595,-0.46811547696373895,0.1438281657255399,-0.7361850185600554,0.9468010536100158
CRVMRG5,-0.3021485068576096,-0.34828180141943016,-0.3316842719483618,-0.26992045233347195,-0.2772310226580547,-0.29299840994737564,0.273873694530019,-0.31076244493284705,0.29190055011674426,1,-0.32177192971777885,-0.3534309737211306,-0.09209762409551793,-0.011279559179403686,0.2750389532262999,-0.26494730335204086,-0.3365713448675072,-0.25108530913471316,-0.16914340567545938,-0.1822032960019625,-0.3286312779589086,-0.06676528601339486,-0.2663646357816197,0.21004081008298242
