Model,n,R2,RMSE,ME
Ensemble,88,0.2840793649237491,33.37812678122298,-5.523663894967505
XGBoost,88,0.21005417585274644,35.06131281937113,-5.006908994000888
RF,88,0.1874740356868686,35.55888574219213,-5.305173571150439
SVM,88,0.16490498095743122,36.049352323330986,0.14894099206318856
Cubist,88,-0.07791526691246986,40.9564052248248,-1.308677812187658
